ID,Label,Pair,FieldType,Block,Wt_Tuber(g),Weight_GT20,Count_Tuber,Count_GT20,Sen_7-29-21,Sen_8-4-21,Sen_8-11-21,Sen_8-18-21,Sen_8-25-21,Sen_9-1-21,Sen_9-8-21,Sen_9-23-21,BD_count_Tuber,BD_Per_Tuber,Vd_count_Tuber,Vd_Per_Tuber,BD_Stem,Vd_Stem,DESCRIPTION (Study ID),Pyth_Avg_Soil,ResPyth_Avg_Soil,ResPyth_Per_Soil,ResPyth_binary,Fus_Avg_Soil,Vd_Tot_Soil,BD_Tot_Soil,Sample ID,POXC
1,1-0-1-2,1,Non-virgin field,2,1586.65,1537.88,15,12,10,8,10,15,10,15,30,40,0/9,0,0/9,0,0,0,1,11,0,0,0,110,0,0,1,177.7824
2,0-0-1-2,1,Virgin field,2,207.26,160.03,11,2,20,25,20,30,30,40,40,50,0/3,0,0/3,0,0,0,2,56,45,80,1,613,0,0,2,281.772
4,1-0-2-1,2,Non-virgin field,1,1096.27,1077.21,9,8,5,10,15,15,8,15,35,70,0/6,0,0/6,0,0,0,4,109,22,20,1,709,0,0,4,364.14
5,0-0-2-1,2,Virgin field,1,610.05,610.5,5,5,0,0,0,0,0,0,2,5,0/5,0,0/5,0,0,0,5,60,33,55,1,110,0,0,5,189.108
6,0-0-3-5,3,Virgin field,5,814.12,801.73,12,11,0,0,0,5,5,10,5,5,0/9,0,0/9,0,0,0,6,157,29,19,1,1668,2,0,6,315.7488
7,1-0-3-5,3,Non-virgin field,5,1038.14,1009.35,14,11,0,0,2,10,8,10,10,10,0/10,0,10-Jan,10,0,0,7,0,0,0,0,650,0,0,7,267.3576
8,0-1-4-2,4,Virgin field,2,1378.06,1378.06,9,9,10,10,10,15,8,15,30,35,0/8,0,8-Jan,12.5,0,0,8,179,0,0,0,774,6,0,8,535.0536
9,1-1-4-2,4,Non-virgin field,2,859.18,859.18,7,7,8,15,15,20,35,35,50,70,6-Mar,50,0/6,0,0,0,9,223,6,3,1,351,4,0,9,411.5016
10,0-0-5-4,5,Virgin field,4,394.53,327.56,10,6,15,15,15,25,35,35,40,45,0/3,0,0/3,0,0,0,10,5,5,100,1,272,0,0,10,208.6704
11,0-0-6-5,6,Virgin field,5,1546.06,1451.85,22,15,8,10,15,15,10,10,15,15,0/11,0,0/11,0,0,0,11,5,0,0,0,161,0,0,11,255.0024
12,0-0-7-6,7,Virgin field,6,1300.45,1247.21,16,11,10,15,10,15,8,15,15,20,0/8,0,0/8,0,0,0,12,80,11,13,1,908,0,2,12,323.9856
13,0-0-8-3,8,Virgin field,3,566.92,557.47,7,6,10,10,10,20,10,25,100,100,0/5,0,0/5,0,0,0,13,22,0,0,0,54,0,0,13,307.512
14,1-0-5-4,5,Non-virgin field,4,929.24,991.91,12,10,0,0,0,0,0,5,10,10,7-Jan,14.29,0/7,0,0,0,14,21,5,25,1,267,4,0,14,270.4464
15,1-0-6-5,6,Non-virgin field,5,617.91,665.87,15,8,0,2,2,5,5,15,15,15,0/6,0,0/6,0,0,0,15,53,11,20,1,963,0,0,15,400.176
16,1-0-7-6,7,Non-virgin field,6,662,624.84,13,9,0,0,0,0,5,10,10,20,0/7,0,0/7,0,0,0,16,94,5,6,1,1724,0,0,16,379.584
17,1-0-8-3,8,Non-virgin field,3,698.16,694.08,8,7,0,0,0,0,0,0,0,5,0/5,0,0/5,0,0,0,17,27,0,0,0,428,0,0,17,326.0448
18,0-1-9-3,9,Virgin field,3,1162.44,1033.32,26,12,10,15,15,20,10,10,20,30,0/11,0,0/11,0,0,0,18,343,0,0,0,1278,0,0,18,822.312
19,1-1-9-3,9,Non-virgin field,3,510.1,457.23,10,6,5,10,5,25,30,35,40,80,4-Jan,25,4-Jan,25,0,0,19,99,0,0,0,697,4,0,19,600.948
20,0-1-10-1,10,Virgin field,1,1100.35,1027.7,17,11,10,15,15,15,5,15,25,30,0/10,0,0/10,0,0,0,20,276,0,0,0,2703,4,0,20,466.0704
21,1-1-10-1,10,Non-virgin field,1,1042.63,1003.21,15,11,10,15,15,20,10,15,20,35,9-Jan,11.11,0/9,0,0,0,21,82,0,0,0,1286,2,0,21,456.804
22,0-1-11-4,11,Virgin field,4,1034.51,982.02,21,16,5,8,10,15,15,20,25,30,0/11,0,0/11,0,0,0,22,223,0,0,0,1318,0,0,22,597.8592
23,1-1-11-4,11,Non-virgin field,4,934.47,766.5,29,10,10,10,8,15,10,15,30,35,7-Jan,14.29,0/7,0,0,0.6,23,234,0,0,0,858,0,0,23,592.0632
