ID,Label,Pair,FieldType,Block,Weight g,Weight_GT20,Count,Count_GT20,Sen_7-29-21,Sen_8-4-21,Sen_8-11-21,Sen_8-18-21,Sen_8-25-21,Sen_9-1-21,Sen_9-8-21,Sen_9-23-21
1,1-0-1-2,1,Non-virgin field,2,1586.65,1537.88,15,12,10,8,10,15,10,15,30,40
2,0-0-1-2,1,Virgin field,2,207.26,160.03,11,2,20,25,20,30,30,40,40,50
4,1-0-2-1,2,Non-virgin field,1,1096.27,1077.21,9,8,5,10,15,15,8,15,35,70
5,0-0-2-1,2,Virgin field,1,610.05,610.5,5,5,0,0,0,0,0,0,2,5
6,0-0-3-5,3,Virgin field,5,814.12,801.73,12,11,0,0,0,5,5,10,5,5
7,1-0-3-5,3,Non-virgin field,5,1038.14,1009.35,14,11,0,0,2,10,8,10,10,10
8,0-1-4-2,4,Virgin field,2,1378.06,1378.06,9,9,10,10,10,15,8,15,30,35
9,1-1-4-2,4,Non-virgin field,2,859.18,859.18,7,7,8,15,15,20,35,35,50,70
10,0-0-5-4,5,Virgin field,4,394.53,327.56,10,6,15,15,15,25,35,35,40,45
11,0-0-6-5,6,Virgin field,5,1546.06,1451.85,22,15,8,10,15,15,10,10,15,15
12,0-0-7-6,7,Virgin field,6,1300.45,1247.21,16,11,10,15,10,15,8,15,15,20
13,0-0-8-3,8,Virgin field,3,566.92,557.47,7,6,10,10,10,20,10,25,100,100
14,1-0-5-4,5,Non-virgin field,4,929.24,991.91,12,10,0,0,0,0,0,5,10,10
15,1-0-6-5,6,Non-virgin field,5,617.91,665.87,15,8,0,2,2,5,5,15,15,15
16,1-0-7-6,7,Non-virgin field,6,662,624.84,13,9,0,0,0,0,5,10,10,20
17,1-0-8-3,8,Non-virgin field,3,698.16,694.08,8,7,0,0,0,0,0,0,0,5
18,0-1-9-3,9,Virgin field,3,1162.44,1033.32,26,12,10,15,15,20,10,10,20,30
19,1-1-9-3,9,Non-virgin field,3,510.1,457.23,10,6,5,10,5,25,30,35,40,80
20,0-1-10-1,10,Virgin field,1,1100.35,1027.7,17,11,10,15,15,15,5,15,25,30
21,1-1-10-1,10,Non-virgin field,1,1042.63,1003.21,15,11,10,15,15,20,10,15,20,35
22,0-1-11-4,11,Virgin field,4,1034.51,982.02,21,16,5,8,10,15,15,20,25,30
23,1-1-11-4,11,Non-virgin field,4,934.47,766.5,29,10,10,10,8,15,10,15,30,35
